palette,color,hex,rgb
Autumn Woods,sapphire ice,#335B8E,51 91 142
Autumn Woods,mint,#6CA18F,108 161 143
Autumn Woods,dark khaki,#B5B867,181 184 103
Autumn Woods,ubuntu,#CC5234,204 82 52
Autumn Woods,amazon,#D9812C,217 129 44
Autumn Woods,grullo,#948D79,148 141 121
Coast of Bohemia,denim,#2166AC,33 102 172
Coast of Bohemia,moonstone blue,#67A9CF,103 169 207
Coast of Bohemia,beau blue,#D1E5F0,209 229 240
Coast of Bohemia,cornell red,#B2182B,178 24 43
Coast of Bohemia,salmon,#EF8A62,239 138 98
Coast of Bohemia,unbleached silk,#FDDBC7,253 219 199
Tidepools,vegas gold,#CEB966,206 185 102
Tidepools,olivine,#9CB084,156 176 132
Tidepools,dark sky blue,#6BB1C9,107 177 201
Tidepools,cornflower blue,#6585CF,101 133 207
Tidepools,toolbox,#7E6BC9,126 107 201
Tidepools,rich lilac,#A379BB,163 121 187
By the Powers of Grayscale,bone,#DDDDDD,221 221 221
By the Powers of Grayscale,bleakers knop,#B2B2B2,178 178 178
By the Powers of Grayscale,ford gray,#969696,150 150 150
By the Powers of Grayscale,battleship gray,#808080,128 128 128
By the Powers of Grayscale,dim gray,#5F5F5F,95 95 95
By the Powers of Grayscale,black swan,#4D4D4D,77 77 77
